n,B,Parallel Time,Serial Time,Speedup
4,32,0.000169,0.000000,0.002331
4,64,0.000028,0.000000,0.007121
4,128,0.000006,0.000000,0.033675
8,32,0.000059,0.000001,0.009269
8,64,0.000012,0.000000,0.039769
8,128,0.000007,0.000000,0.039890
16,32,0.000042,0.000001,0.034917
16,64,0.000048,0.000001,0.028799
16,128,0.000030,0.000001,0.041794
32,32,0.000063,0.000007,0.110781
32,64,0.000072,0.000007,0.095487
32,128,0.000039,0.000007,0.175507
64,32,0.000536,0.000062,0.116415
64,64,0.000175,0.000035,0.200971
64,128,0.000061,0.000035,0.576249
128,32,0.000290,0.000218,0.752734
128,64,0.000249,0.000199,0.799156
128,128,0.000186,0.000165,0.888418
256,32,0.000677,0.001767,2.610272
256,64,0.000517,0.001659,3.210543
256,128,0.001582,0.001625,1.026680
512,32,0.003773,0.020708,5.488160
512,64,0.002092,0.020629,9.861084
512,128,0.001944,0.020558,10.575610
1024,32,0.012820,0.190228,14.838227
1024,64,0.014083,0.196888,13.980453
1024,128,0.017851,0.195835,10.970288
2048,32,0.093267,2.007280,21.521963
2048,64,0.084776,2.007403,23.678839
2048,128,0.089254,2.020771,22.640644
